title,subject,year_group,key_stage,unit,learning_objective,oak_url
"Formation of u, y and j",English,Year 1,ks1,,"I can form the letters u, y and j.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-u-y-and-j
"Formation of v,w, x and z",English,Year 1,ks1,,"I can form the letters v, w, x and z.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-v-w-x-and-z
Giving and following instructions,English,Year 1,ks1,,I can give and follow instructions.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/speaking-and-listening/lessons/giving-and-following-instructions
Imagining you are the characters in 'The Magic Porridge Pot',English,Year 1,ks1,,I can think from the character's point of view.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-magic-porridge-pot-reading-and-writing/lessons/imagining-you-are-the-characters-in-the-magic-porridge-pot
Imagining you are the characters: 'The Three Billy Goats Gruff',English,Year 1,ks1,,I can imagine that I am a character in the story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-billy-goats-gruff-reading-and-writing/lessons/imagining-you-are-the-characters-the-three-billy-goats-gruff
Introducing adjectives to describe people who help us,English,Year 1,ks1,,I can use adjectives to describe personality traits.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/a-superhero-like-you-reading-and-writing/lessons/introducing-adjectives-to-describe-people-who-help-us
Introduction to Poetry: 'Zim Zam Zoom' by James Carter,English,Year 1,ks1,,I can explain what a poet is and name some poetic features.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/zim-zam-zoom-by-james-carter-reading-poetry/lessons/introduction-to-poetry-zim-zam-zoom-by-james-carter
Introduction to skills and patterns,English,Year 1,ks1,,I can sit comfortably and hold a pencil ready for handwriting.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/introduction-to-skills-and-patterns
Introduction to traditional tales,English,Year 1,ks1,,I can name some features of a traditional tale.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-billy-goats-gruff-reading-and-writing/lessons/introduction-to-traditional-tales
Joining using 'and',English,Year 1,ks1,,I can join two simple sentences with 'and'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/simple-sentences/lessons/joining-using-and
Matching lower case letters with their capital letters,English,Year 1,ks1,,I can correctly form all 26 letters of the alphabet in lower case and their capital letters.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/matching-lower-case-letters-with-their-capital-letters
Nouns: common and proper,English,Year 1,ks1,,I can define and identify a noun.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/nouns-common-and-proper
Nouns: singular and plural,English,Year 1,ks1,,I can identify the difference between singular and plural common nouns.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/nouns-singular-and-plural
Nursery rhymes performance,English,Year 1,ks1,,I can perform a nursery rhyme I have learnt as part of a group.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/nursery-rhymes-reading-poetry/lessons/nursery-rhymes-performance
Our likes and dislikes,English,Year 1,ks1,,I can share my opinion and explain why.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/speaking-loud-and-proud/lessons/our-likes-and-dislikes
Past tense,English,Year 1,ks1,,I can say and write a simple sentence in the simple past tense.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/simple-sentences/lessons/past-tense
Performance of James Carter poems,English,Year 1,ks1,,I can perform a poem by James Carter.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/zim-zam-zoom-by-james-carter-reading-poetry/lessons/performance-of-james-carter-poems
Performing a poem for an audience,English,Year 1,ks1,,I can perform a poem for an audience.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/speaking-loud-and-proud/lessons/performing-a-poem-for-an-audience
Practice of capital letters and days of the week,English,Year 1,ks1,,I can correctly form capital letters and write the days of the week.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/practice-of-capital-letters-and-days-of-the-week
Practice of letters with ascenders,English,Year 1,ks1,,I can form the letters with ascenders correctly.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/practice-of-letters-with-ascenders
Practice of letters with descenders,English,Year 1,ks1,,I can form the letters with descenders correctly.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/practice-of-letters-with-descenders
Practice of x-height letters,English,Year 1,ks1,,I can form the x-height letters correctly.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/practice-of-x-height-letters
Present and past tense,English,Year 1,ks1,,I can vary the tense of a simple sentence.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/simple-sentences/lessons/present-and-past-tense
Present tense,English,Year 1,ks1,,I can say and write a simple sentence in the simple present tense.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/simple-sentences/lessons/present-tense
Questions and commands,English,Year 1,ks1,,I can recognise the difference between a question and a command.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/simple-sentences/lessons/questions-and-commands
Reading 'BEwARe!' by James Carter,English,Year 1,ks1,,I can listen to and discuss 'BEwARe!'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/zim-zam-zoom-by-james-carter-reading-poetry/lessons/reading-beware-by-james-carter
Reading 'Firework Poem' by James Carter,English,Year 1,ks1,,I can listen to and discuss 'Firework Poem'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/zim-zam-zoom-by-james-carter-reading-poetry/lessons/reading-firework-poem-by-james-carter
Reading 'Splish! Splash! Splosh!' by James Carter,English,Year 1,ks1,,I can listen to and discuss 'Splish! Splash! Splosh!'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/zim-zam-zoom-by-james-carter-reading-poetry/lessons/reading-splish-splash-splosh-by-james-carter
Reading and responding to 'Lulu Gets a Cat' by Anna McQuinn,English,Year 1,ks1,,I can listen to and respond to a story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/looking-after-pets-reading-and-writing/lessons/reading-and-responding-to-lulu-gets-a-cat-by-anna-mcquinn
Reading and responding to 'The Magic Porridge Pot',English,Year 1,ks1,,I can listen to and discuss a traditional tale.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-magic-porridge-pot-reading-and-writing/lessons/reading-and-responding-to-the-magic-porridge-pot
